Uniprot,Protein,UNIPROT,MAXFC,P.VALUE,ADJ.P.VAL,LOGFC
g14868.t1,CRYAB,"GO:0000003,GO:0000165,GO:0000226,GO:0000302,GO:0000502,GO:0001101,GO:0001540,GO:0001558,GO:0001654,GO:0001666,GO:0001817,GO:0001819,GO:0001932,GO:0001933,GO:0002088,GO:0002931,GO:0003008,GO:0003012,GO:0003674,GO:0003779,GO:0004857,GO:0004860,GO:0005080,GO:0005198,GO:0005212,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005759,GO:0005794,GO:0005829,GO:0005856,GO:0005886,GO:0006417,GO:0006446,GO:0006457,GO:0006464,GO:0006468,GO:0006469,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006886,GO:0006915,GO:0006928,GO:0006936,GO:0006950,GO:0006952,GO:0006979,GO:0006986,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007021,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007399,GO:0007423,GO:0007517,GO:0007525,GO:0007565,GO:0007568,GO:0008017,GO:0008047,GO:0008064,GO:0008088,GO:0008089,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008340,GO:0008426,GO:0009266,GO:0009314,GO:0009408,GO:0009409,GO:0009605,GO:0009607,GO:0009612,GO:0009615,GO:0009617,GO:0009620,GO:0009628,GO:0009631,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009966,GO:0009968,GO:0009986,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010212,GO:0010243,GO:0010259,GO:0010332,GO:0010466,GO:0010468,GO:0010506,GO:0010556,GO:0010557,GO:0010563,GO:0010594,GO:0010595,GO:0010604,GO:0010605,GO:0010608,GO:0010629,GO:0010632,GO:0010634,GO:0010639,GO:0010646,GO:0010648,GO:0010720,GO:0010941,GO:0010951,GO:0010970,GO:0010975,GO:0010976,GO:0012501,GO:0012505,GO:0014069,GO:0014070,GO:0015031,GO:0015629,GO:0015630,GO:0015631,GO:0015833,GO:0016020,GO:0016043,GO:0016310,GO:0017022,GO:0019207,GO:0019210,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019887,GO:0019899,GO:0019900,GO:0019901,GO:0022008,GO:0022414,GO:0022603,GO:0022607,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0030016,GO:0030017,GO:0030018,GO:0030154,GO:0030162,GO:0030234,GO:0030291,GO:0030308,GO:0030334,GO:0030335,GO:0030424,GO:0030425,GO:0030705,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0031098,GO:0031109,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031333,GO:0031344,GO:0031346,GO:0031399,GO:0031400,GO:0031430,GO:0031647,GO:0031667,GO:0031672,GO:0031674,GO:0031974,GO:0031981,GO:0032101,GO:0032103,GO:0032182,GO:0032268,GO:0032269,GO:0032271,GO:0032272,GO:0032279,GO:0032355,GO:0032386,GO:0032387,GO:0032432,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032535,GO:0032651,GO:0032652,GO:0032680,GO:0032731,GO:0032732,GO:0032760,GO:0032879,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033218,GO:0033554,GO:0033673,GO:0033993,GO:0034097,GO:0034248,GO:0034599,GO:0034613,GO:0034614,GO:0034622,GO:0035418,GO:0035556,GO:0035690,GO:0035924,GO:0035966,GO:0035994,GO:0036211,GO:0036293,GO:0036477,GO:0038033,GO:0038084,GO:0038089,GO:0040008,GO:0040012,GO:0040017,GO:0042026,GO:0042035,GO:0042108,GO:0042221,GO:0042277,GO:0042325,GO:0042326,GO:0042493,GO:0042534,GO:0042535,GO:0042542,GO:0042594,GO:0042595,GO:0042742,GO:0042802,GO:0042803,GO:0042886,GO:0042981,GO:0042995,GO:0043005,GO:0043010,GO:0043025,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043086,GO:0043122,GO:0043130,GO:0043154,GO:0043170,GO:0043197,GO:0043204,GO:0043207,GO:0043209,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043242,GO:0043244,GO:0043254,GO:0043281,GO:0043292,GO:0043412,GO:0043434,GO:0043487,GO:0043488,GO:0043535,GO:0043536,GO:0043549,GO:0043933,GO:0044085,GO:0044087,GO:0044092,GO:0044093,GO:0044183,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044297,GO:0044309,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044430,GO:0044444,GO:0044446,GO:0044449,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044706,GO:0044877,GO:0045184,GO:0045202,GO:0045211,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045765,GO:0045766,GO:0045859,GO:0045861,GO:0045926,GO:0045936,GO:0046677,GO:0046907,GO:0046983,GO:0048010,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050821,GO:0050832,GO:0050896,GO:0050920,GO:0050921,GO:0051016,GO:0051049,GO:0051051,GO:0051082,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051259,GO:0051260,GO:0051270,GO:0051272,GO:0051336,GO:0051338,GO:0051346,GO:0051348,GO:0051403,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051693,GO:0051704,GO:0051707,GO:0051716,GO:0051960,GO:0051962,GO:0052547,GO:0052548,GO:0060255,GO:0060284,GO:0060341,GO:0060548,GO:0060561,GO:0061013,GO:0061061,GO:0061077,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070301,GO:0070482,GO:0070542,GO:0070727,GO:0070848,GO:0070887,GO:0071105,GO:0071214,GO:0071229,GO:0071236,GO:0071310,GO:0071345,GO:0071348,GO:0071363,GO:0071396,GO:0071398,GO:0071478,GO:0071479,GO:0071480,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071900,GO:0071901,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0090066,GO:0097060,GO:0097237,GO:0097447,GO:0097458,GO:0097512,GO:0098542,GO:0098590,GO:0098772,GO:0098794,GO:0098839,GO:0098840,GO:0098930,GO:0098984,GO:0099080,GO:0099081,GO:0099111,GO:0099118,GO:0099512,GO:0099572,GO:0099634,GO:0099640,GO:0099641,GO:0104004,GO:0110053,GO:0120025,GO:0120035,GO:0120038,GO:1900034,GO:1900407,GO:1900408,GO:1901342,GO:1901564,GO:1901652,GO:1901698,GO:1901700,GO:1901701,GO:1901879,GO:1901880,GO:1902175,GO:1902176,GO:1902494,GO:1902531,GO:1902532,GO:1902742,GO:1902882,GO:1902883,GO:1902903,GO:1902904,GO:1903201,GO:1903202,GO:1903311,GO:1903544,GO:1903545,GO:1903555,GO:1903557,GO:1904018,GO:1905368,GO:1905369,GO:1905383,GO:1905906,GO:1905907,GO:1990776,GO:2000026,GO:2000112,GO:2000116,GO:2000117,GO:2000145,GO:2000147,GO:2000377,GO:2000378,GO:2001026,GO:2001028,GO:2001233,GO:2001234,GO:2001242,GO:2001243",2.294160542,0.000361545,0.798626361,2.294160542
g9429.t2,RAB14,"GO:0000166,GO:0000323,GO:0001775,GO:0001845,GO:0001882,GO:0001883,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005768,GO:0005769,GO:0005770,GO:0005773,GO:0005783,GO:0005791,GO:0005794,GO:0005795,GO:0005798,GO:0005802,GO:0005829,GO:0005886,GO:0006629,GO:0006644,GO:0006650,GO:0006661,GO:0006793,GO:0006796,GO:0006810,GO:0006873,GO:0006885,GO:0006887,GO:0006892,GO:0006895,GO:0006897,GO:0006909,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007033,GO:0007040,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007264,GO:0007265,GO:0007589,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008543,GO:0008610,GO:0008654,GO:0009058,GO:0009605,GO:0009607,GO:0009617,GO:0009719,GO:0009987,GO:0010008,GO:0010033,GO:0012505,GO:0012506,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016197,GO:0016324,GO:0016462,GO:0016482,GO:0016787,GO:0016817,GO:0016818,GO:0017022,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019637,GO:0019725,GO:0022607,GO:0023052,GO:0030003,GO:0030004,GO:0030100,GO:0030133,GO:0030135,GO:0030136,GO:0030139,GO:0030140,GO:0030141,GO:0030641,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031489,GO:0031901,GO:0031982,GO:0031984,GO:0032456,GO:0032482,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032879,GO:0032880,GO:0032940,GO:0033036,GO:0035556,GO:0035639,GO:0036094,GO:0036230,GO:0036477,GO:0042119,GO:0042175,GO:0042221,GO:0042592,GO:0042599,GO:0042742,GO:0043025,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043277,GO:0043299,GO:0043312,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044297,GO:0044344,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045017,GO:0045055,GO:0045176,GO:0045177,GO:0045202,GO:0045321,GO:0045335,GO:0045851,GO:0045995,GO:0046474,GO:0046486,GO:0046488,GO:0046903,GO:0046907,GO:0048193,GO:0048471,GO:0048878,GO:0050789,GO:0050793,GO:0050794,GO:0050801,GO:0050878,GO:0050896,GO:0051049,GO:0051128,GO:0051179,GO:0051234,GO:0051239,GO:0051452,GO:0051453,GO:0051641,GO:0051649,GO:0051704,GO:0051707,GO:0051716,GO:0055037,GO:0055038,GO:0055067,GO:0055080,GO:0055082,GO:0060627,GO:0065007,GO:0065008,GO:0070820,GO:0070821,GO:0070848,GO:0070887,GO:0070925,GO:0071310,GO:0071363,GO:0071495,GO:0071704,GO:0071774,GO:0071840,GO:0071944,GO:0080171,GO:0090382,GO:0090383,GO:0090386,GO:0090387,GO:0090390,GO:0090407,GO:0097159,GO:0097208,GO:0097367,GO:0097458,GO:0097708,GO:0098542,GO:0098588,GO:0098590,GO:0098657,GO:0098771,GO:0098791,GO:0098805,GO:0099503,GO:1901265,GO:1901363,GO:1901576,GO:2000026",1.649015531,0.000647323,0.798626361,-1.649015531
g11774.t1,CAPZB,"GO:0000003,GO:0000578,GO:0000902,GO:0001667,GO:0001932,GO:0001933,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005869,GO:0005875,GO:0005884,GO:0006810,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007017,GO:0007018,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007300,GO:0007303,GO:0007389,GO:0007444,GO:0008064,GO:0008092,GO:0008150,GO:0008290,GO:0008582,GO:0009653,GO:0009790,GO:0009798,GO:0009880,GO:0009888,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010563,GO:0010591,GO:0010605,GO:0010631,GO:0010639,GO:0010646,GO:0010648,GO:0015629,GO:0015630,GO:0016043,GO:0016477,GO:0016482,GO:0019220,GO:0019222,GO:0019953,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030029,GO:0030036,GO:0030154,GO:0030707,GO:0030832,GO:0030833,GO:0030834,GO:0030835,GO:0030837,GO:0030855,GO:0031323,GO:0031324,GO:0031333,GO:0031344,GO:0031345,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032271,GO:0032272,GO:0032501,GO:0032502,GO:0032504,GO:0032535,GO:0032872,GO:0032873,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0035220,GO:0035295,GO:0040008,GO:0040011,GO:0042325,GO:0042326,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043242,GO:0043244,GO:0043254,GO:0043408,GO:0043409,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0044877,GO:0045887,GO:0045927,GO:0045936,GO:0046328,GO:0046329,GO:0046907,GO:0046982,GO:0046983,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0048609,GO:0048638,GO:0048639,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0051015,GO:0051016,GO:0051094,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051246,GO:0051248,GO:0051489,GO:0051490,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051674,GO:0051693,GO:0051704,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060255,GO:0060429,GO:0060491,GO:0065007,GO:0065008,GO:0070302,GO:0070303,GO:0071203,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0090066,GO:0090130,GO:0090132,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0110053,GO:0120032,GO:0120033,GO:0120035,GO:1901879,GO:1901880,GO:1902531,GO:1902532,GO:1902743,GO:1902903,GO:1902904,GO:1904396,GO:1904398,GO:2000026",1.417359512,0.001347473,0.798626361,-1.417359512
g21563.t1,MIF4GD,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005829,GO:0008022,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0070013",1.565234149,0.001378814,0.798626361,1.565234149
g7221.t1,-,-,1.516192385,0.002191097,0.798626361,-1.516192385
g27635.t1,-,-,4.108213515,0.003675591,0.798626361,-4.108213515
g1735.t1,EDC4,"GO:0000003,GO:0000288,GO:0000291,GO:0000578,GO:0000932,GO:0000956,GO:0003002,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006402,GO:0006403,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006996,GO:0007028,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007314,GO:0007315,GO:0007316,GO:0007350,GO:0007351,GO:0007389,GO:0008150,GO:0008152,GO:0008298,GO:0008358,GO:0008595,GO:0009056,GO:0009057,GO:0009605,GO:0009607,GO:0009620,GO:0009790,GO:0009798,GO:0009880,GO:0009892,GO:0009948,GO:0009952,GO:0009987,GO:0009994,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0016441,GO:0016458,GO:0019094,GO:0019222,GO:0019439,GO:0019953,GO:0021700,GO:0022412,GO:0022414,GO:0022607,GO:0022613,GO:0022618,GO:0030154,GO:0031047,GO:0031086,GO:0031087,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033036,GO:0033962,GO:0034622,GO:0034641,GO:0034655,GO:0035194,GO:0035195,GO:0035282,GO:0035770,GO:0036464,GO:0040029,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043928,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045451,GO:0046483,GO:0046700,GO:0048468,GO:0048469,GO:0048477,GO:0048519,GO:0048599,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050832,GO:0050896,GO:0051179,GO:0051641,GO:0051704,GO:0051707,GO:0060255,GO:0060810,GO:0060811,GO:0065003,GO:0065007,GO:0070013,GO:0070727,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0090305,GO:0098542,GO:1901360,GO:1901361,GO:1901575,GO:1990904",2.502938094,0.007247278,0.798626361,-2.502938094
g23643.t1,MOXD1,"GO:0001505,GO:0003674,GO:0003824,GO:0004497,GO:0004500,GO:0005488,GO:0005507,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006066,GO:0006576,GO:0006584,GO:0006589,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009308,GO:0009309,GO:0009712,GO:0009713,GO:0009987,GO:0012505,GO:0012506,GO:0016020,GO:0016491,GO:0016705,GO:0016715,GO:0017144,GO:0018958,GO:0019336,GO:0019438,GO:0019439,GO:0019614,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031410,GO:0031982,GO:0031984,GO:0034641,GO:0042133,GO:0042136,GO:0042175,GO:0042401,GO:0042415,GO:0042417,GO:0042420,GO:0042421,GO:0042423,GO:0042424,GO:0042439,GO:0042737,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044106,GO:0044237,GO:0044248,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0046165,GO:0046189,GO:0046333,GO:0046872,GO:0046914,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0097164,GO:0097708,GO:0098588,GO:0098805,GO:0098827,GO:0099503,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901617",1.705679086,0.008643339,0.798626361,1.705679086
g26784.t1,CYB5D2,"GO:0003674,GO:0005488,GO:0005575,GO:0005576,GO:0005623,GO:0007275,GO:0007399,GO:0008150,GO:0009987,GO:0010720,GO:0012505,GO:0016020,GO:0020037,GO:0022008,GO:0030154,GO:0032501,GO:0032502,GO:0044464,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0046906,GO:0048037,GO:0048518,GO:0048522,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050789,GO:0050793,GO:0050794,GO:0051094,GO:0051239,GO:0051240,GO:0051960,GO:0051962,GO:0060284,GO:0065007,GO:0097159,GO:1901363,GO:2000026",1.436492707,0.008657646,0.798626361,1.436492707
g9191.t1,-,-,1.949721508,0.009267284,0.798626361,1.949721508
