Protein,C1APO,E14APO,F6APO,A1SYM,A7SYM,C8SYM,E9SYM,F3SYM
g14868.t1,1.61358446,1.162589556,0.570678782,-0.707174955,-1.066592378,-0.765735202,-0.112914833,-0.694435431
g9429.t2,-1.369910682,-0.794508814,-1.225008612,0.189128951,1.163367275,0.999270253,0.338069475,0.699592155
g11774.t1,-1.578957512,-0.788248702,-0.99224596,1.07916907,1.121603571,0.275259032,0.362902769,0.520517733
g21563.t1,1.47889741,0.875607509,0.946253311,-0.574428918,-0.995747852,-0.015279725,-0.434606687,-1.280695047
g7221.t1,-1.383931242,-0.788678428,-1.061358013,1.411601733,-0.065658305,0.658201519,0.341188757,0.88863398
g27635.t1,0.122611675,-1.333195389,-1.744139167,0.673858195,0.23493529,1.010527919,0.295146526,0.74025495
g1735.t1,-0.172991308,-0.752504083,-1.932345391,0.522826303,-0.172991308,0.493717557,1.224104945,0.790183285
g23643.t1,1.222281782,0.648378267,1.016964617,-1.094714074,-0.845080889,0.516937784,-0.10037953,-1.364387957
g26784.t1,1.184266123,0.559276379,1.201487681,-1.25862633,-0.101821955,-0.768771591,0.405378345,-1.221188653
g9191.t1,1.400390908,0.154124109,1.284040998,-0.962568482,-1.308519863,0.240347984,-0.818381738,0.010566084
g27994.t1,-1.023917012,-2,0.296770158,0.948998893,0.503843739,0.51633758,0.391518585,0.39873354
g21974.t1,1.062223636,0.664545697,1.02045321,-0.762310577,-1.147593152,0.923364032,-1.090156311,-0.670526534
g25132.t1,0.675892956,1.121581827,1.153481638,-1.148543075,-1.576284512,0.097997046,0.048586953,-0.372712834
g25272.t1,0.480973005,-1.951184558,-1.213211579,0.371347807,0.679497683,0.537346533,0.575348848,0.519882261
g22799.t1,-1.816686377,0.170461994,-1.179325361,1.057855634,0.180192685,0.506285509,0.919697734,0.161518182
g24749.t1,0.881246612,1.283128791,0.761353766,-1.496593914,-1.128356807,0.05393818,0.280092045,-0.634808672
g13182.t1,-0.108204815,-1.313263164,-1.239041154,0.876488336,1.51552039,-0.232565615,-0.241277114,0.742343136
g875.t1,1.126922481,0.378277775,1.411980708,-0.506714163,-1.518349821,-0.606731851,0.415102573,-0.700487701
g10199.t1,-0.801784522,-0.687470833,-1.262514873,0.296478544,1.960477446,0.484857498,-0.244093831,0.254050571
g333.t1,1.595161995,0.480447637,0.751822233,-0.797281681,-1.677238916,0.024958667,0.07430197,-0.452171905
g26990.t1,-0.191835157,-2,-0.518113259,1.184056309,1.025947507,0.362476116,0.059948797,0.101128005
g16824.t1,-2,-0.208796153,-0.122840443,0.244656368,1.083488784,0.419149455,0.358371086,0.496785291
g24513.t1,-1.236879385,-1.162996394,-0.375551658,1.844116093,0.379051453,0.133757828,-0.19486678,0.613368844
g18862.t1,1.028140821,0.711004228,0.936472162,-0.929461391,-1.216518105,-0.018175102,-1.27687704,0.765414426
g4859.t3,1.70664155,0.231751713,1.078066973,-0.93257397,0.097799805,-1.230666442,-0.588246885,-0.362772743
g26544.t1,-1.289489785,-0.900591484,-0.546389036,0.053059854,2,0.336088881,0.157006332,0.176341097
g9460.t1,-1.951672628,-0.562695559,-0.096087653,1.461086777,0.658277543,-0.161315618,0.496747791,0.155659346
g599.t1,-0.659989205,-1.242111234,-0.742882238,1.727503509,-0.714022136,0.562921771,0.324776166,0.743803366
g26024.t1,-1.472718534,0.12195367,-1.284673225,1.251175554,1.251175554,0.045195499,0.164478929,-0.076587447
g862.t1,-1.42926628,-0.779601593,-0.562605293,1.183308843,1.495142269,-0.003758884,-0.394625848,0.491406786
g17985.t1,0.857243153,0.417764202,1.636250507,-0.75583516,-1.560433153,-0.327786849,0.229654931,-0.496857632
g19428.t1,-2,-0.252175692,-0.146140679,1.210967416,1.016589787,0.127018822,-0.084317249,0.212903483
g17644.t1,0.65058108,1.109719077,1.109719077,-1.624391529,-1.133498649,0.203853066,0.064321721,-0.380303844
g18259.t3,0.903565389,0.435081402,1.47628249,-0.555815098,-1.027300103,-0.426251966,0.583229071,-1.388791185
g11539.t1,-2,-0.026851912,-0.503318458,1.204955499,0.899720212,0.040198986,-0.024245709,0.473146063
g8616.t1,-1.829131831,-0.229170745,-0.834593452,0.945591503,0.714306224,-0.36940314,1.001863055,0.600538385
g19455.t1,-1.449370773,-1.201661964,0.028244244,1.292139864,1.014243275,0.224220025,-0.546231831,0.63841716
g4085.t1,1.237594396,0.10650298,1.35094434,-1.30372742,-1.053338774,0.609631088,-0.441325235,-0.506281375
g1804.t2,-0.618420951,-0.972879294,-1.121045387,1.609132039,0.754023321,1.012874661,-0.403633543,-0.260050847
g11307.t1,-0.544866583,-0.765122954,-1.65841885,1.413424361,1.097975937,-0.026654324,0.089582253,0.39408016
g6735.t1,0.376756328,1.062900449,1.062900449,-1.192337469,-1.649719304,0.376756328,0.376756328,-0.414013109
g2155.t1,0.903606744,0.709189489,0.876665491,-1.08018156,-1.609296834,0.464559661,0.540248786,-0.804791778
g12020.t2,-1.947623149,-0.369935713,-0.227275573,0.80565214,0.865111327,1.188058363,0.125838192,-0.439825588
g25307.t1,1.830707863,-0.188962716,1.106350064,-0.553029392,-1.330172398,-0.294972221,-0.105827223,-0.464093978
g13742.t1,-0.776834606,-0.961478308,-1.325974069,1.261445361,1.365009393,-0.069687512,0.504499468,0.003020272
g1301.t1,0.984893033,0.995421784,1.171814877,-0.193461719,-1.104306636,-0.347803999,0.006071503,-1.512628842
g14977.t1,-1.421782787,0.136332704,-1.509359113,0.352941435,1.329967854,0.728087679,-0.111929729,0.495741957
