Uniprot,Protein,UNIPROT,MAXFC,P.VALUE,ADJ.P.VAL,LOGFC
g14868.t1,g14868.t1,g14868.t1,2.294160542,0.000361545,0.798626361,2.294160542
g9429.t2,g9429.t2,g9429.t2,1.649015531,0.000647323,0.798626361,-1.649015531
g11774.t1,g11774.t1,g11774.t1,1.417359512,0.001347473,0.798626361,-1.417359512
g21563.t1,g21563.t1,g21563.t1,1.565234149,0.001378814,0.798626361,1.565234149
g7221.t1,g7221.t1,g7221.t1,1.516192385,0.002191097,0.798626361,-1.516192385
g27635.t1,g27635.t1,g27635.t1,4.108213515,0.003675591,0.798626361,-4.108213515
g1735.t1,g1735.t1,g1735.t1,2.502938094,0.007247278,0.798626361,-2.502938094
g23643.t1,g23643.t1,g23643.t1,1.705679086,0.008643339,0.798626361,1.705679086
g26784.t1,g26784.t1,g26784.t1,1.436492707,0.008657646,0.798626361,1.436492707
g9191.t1,g9191.t1,g9191.t1,1.949721508,0.009267284,0.798626361,1.949721508
g27994.t1,g27994.t1,g27994.t1,3.947454356,0.009535155,0.798626361,-3.947454356
g21974.t1,g21974.t1,g21974.t1,3.483920089,0.010302614,0.798626361,3.483920089
g25132.t1,g25132.t1,g25132.t1,1.155805459,0.012318825,0.798626361,1.155805459
g25272.t1,g25272.t1,g25272.t1,3.953109057,0.012980719,0.798626361,-3.953109057
g22799.t1,g22799.t1,g22799.t1,1.412266693,0.013404339,0.798626361,-1.412266693
g24749.t1,g24749.t1,g24749.t1,1.103074063,0.014500168,0.798626361,1.103074063
g13182.t1,g13182.t1,g13182.t1,2.505461484,0.015808252,0.798626361,-2.505461484
g875.t1,g875.t1,g875.t1,1.056032083,0.016152845,0.798626361,1.056032083
g10199.t1,g10199.t1,g10199.t1,1.367733499,0.017542089,0.798626361,-1.367733499
g333.t1,g333.t1,g333.t1,1.122371797,0.018438584,0.798626361,1.122371797
g26990.t1,g26990.t1,g26990.t1,1.335405751,0.019015835,0.798626361,-1.335405751
g16824.t1,g16824.t1,g16824.t1,2.636730867,0.019026613,0.798626361,-2.636730867
g24513.t1,g24513.t1,g24513.t1,1.161979478,0.020134757,0.798626361,-1.161979478
g18862.t1,g18862.t1,g18862.t1,1.304363118,0.022990447,0.798626361,1.304363118
g4859.t3,g4859.t3,g4859.t3,0.815096913,0.023351091,0.798626361,0.815096913
g26544.t1,g26544.t1,g26544.t1,1.122978922,0.023387415,0.798626361,-1.122978922
g9460.t1,g9460.t1,g9460.t1,1.427577997,0.025368402,0.798626361,-1.427577997
g599.t1,g599.t1,g599.t1,1.279332456,0.025479848,0.798626361,-1.279332456
g26024.t1,g26024.t1,g26024.t1,1.292647946,0.025872498,0.798626361,-1.292647946
g862.t1,g862.t1,g862.t1,0.967638208,0.026992565,0.798626361,-0.967638208
g17985.t1,g17985.t1,g17985.t1,0.834055322,0.027013309,0.798626361,0.834055322
g19428.t1,g19428.t1,g19428.t1,2.861205538,0.027422252,0.798626361,-2.861205538
g17644.t1,g17644.t1,g17644.t1,0.859068633,0.027452558,0.798626361,0.859068633
g18259.t3,g18259.t3,g18259.t3,0.90649819,0.027598445,0.798626361,0.90649819
g11539.t1,g11539.t1,g11539.t1,1.30048268,0.028716408,0.798626361,-1.30048268
g8616.t1,g8616.t1,g8616.t1,0.81000265,0.029858496,0.798626361,-0.81000265
g19455.t1,g19455.t1,g19455.t1,1.160307581,0.029862965,0.798626361,-1.160307581
g4085.t1,g4085.t1,g4085.t1,1.012208939,0.029884794,0.798626361,1.012208939
g1804.t2,g1804.t2,g1804.t2,0.970289634,0.03061518,0.798626361,-0.970289634
g11307.t1,g11307.t1,g11307.t1,0.753666117,0.031070677,0.798626361,-0.753666117
g6735.t1,g6735.t1,g6735.t1,1.624413127,0.031365226,0.798626361,1.624413127
g2155.t1,g2155.t1,g2155.t1,1.734465371,0.03146071,0.798626361,1.734465371
g12020.t2,g12020.t2,g12020.t2,1.316149716,0.032242902,0.798626361,-1.316149716
g25307.t1,g25307.t1,g25307.t1,0.887887692,0.032844494,0.798626361,0.887887692
g13742.t1,g13742.t1,g13742.t1,0.689168568,0.034069491,0.798626361,-0.689168568
g1301.t1,g1301.t1,g1301.t1,0.660224883,0.034339297,0.798626361,0.660224883
g14977.t1,g14977.t1,g14977.t1,0.825438887,0.034350397,0.798626361,-0.825438887
g10337.t1,g10337.t1,g10337.t1,1.24357277,0.03522069,0.798626361,-1.24357277
g11184.t1,g11184.t1,g11184.t1,0.876857853,0.035586892,0.798626361,-0.876857853
g28536.t1,g28536.t1,g28536.t1,1.190324612,0.036102314,0.798626361,1.190324612
g13454.t1,g13454.t1,g13454.t1,0.801875443,0.036516756,0.798626361,0.801875443
g19484.t1,g19484.t1,g19484.t1,1.136862932,0.036707571,0.798626361,1.136862932
g6328.t1,g6328.t1,g6328.t1,0.717677191,0.036769342,0.798626361,0.717677191
g9935.t1,g9935.t1,g9935.t1,2.691896,0.038003588,0.798626361,-2.691896
g7748.t1,g7748.t1,g7748.t1,0.805841603,0.039955365,0.798626361,-0.805841603
g8280.t1,g8280.t1,g8280.t1,1.266423309,0.040205922,0.798626361,-1.266423309
g27749.t1,g27749.t1,g27749.t1,0.812325348,0.040496307,0.798626361,0.812325348
g20927.t1,g20927.t1,g20927.t1,1.087884569,0.040997129,0.798626361,-1.087884569
g29615.t1,g29615.t1,g29615.t1,1.140775024,0.041280689,0.798626361,-1.140775024
g14214.t1,g14214.t1,g14214.t1,0.995936401,0.041371997,0.798626361,-0.995936401
g13844.t1,g13844.t1,g13844.t1,1.285673547,0.041467065,0.798626361,1.285673547
g4605.t1,g4605.t1,g4605.t1,3.165417307,0.041802641,0.798626361,-3.165417307
g9720.t1,g9720.t1,g9720.t1,0.985364103,0.042392655,0.798626361,-0.985364103
g29983.t1,g29983.t1,g29983.t1,1.513614914,0.042898656,0.798626361,-1.513614914
g17284.t2,g17284.t2,g17284.t2,0.888303275,0.043229232,0.798626361,0.888303275
g21323.t2,g21323.t2,g21323.t2,0.804282869,0.043406135,0.798626361,-0.804282869
g11145.t1,g11145.t1,g11145.t1,1.079057446,0.043566138,0.798626361,1.079057446
g26282.t2,g26282.t2,g26282.t2,1.073145963,0.044236803,0.798626361,-1.073145963
g18145.t1,g18145.t1,g18145.t1,0.938574037,0.044637471,0.798626361,-0.938574037
g17703.t1,g17703.t1,g17703.t1,1.070193259,0.044863196,0.798626361,-1.070193259
g3348.t1,g3348.t1,g3348.t1,0.902391297,0.045141209,0.798626361,-0.902391297
g5243.t1,g5243.t1,g5243.t1,0.636211508,0.045311425,0.798626361,-0.636211508
g27193.t2,g27193.t2,g27193.t2,1.959588068,0.045428413,0.798626361,-1.959588068
g25789.t1,g25789.t1,g25789.t1,0.772594297,0.045527541,0.798626361,0.772594297
g25817.t1,g25817.t1,g25817.t1,1.30287882,0.045568391,0.798626361,1.30287882
g26834.t1,g26834.t1,g26834.t1,0.847040453,0.046616229,0.798626361,-0.847040453
g21286.t1,g21286.t1,g21286.t1,1.272027888,0.04677676,0.798626361,1.272027888
