Uniprot,Protein,UNIPROT,MAXFC,P.VALUE,ADJ.P.VAL,LOGFC
CRYAB,CRYAB,CRYAB,2.294160542,0.000361545,0.798626361,2.294160542
RAB14,RAB14,RAB14,1.649015531,0.000647323,0.798626361,-1.649015531
CAPZB,CAPZB,CAPZB,1.417359512,0.001347473,0.798626361,-1.417359512
MIF4GD,MIF4GD,MIF4GD,1.565234149,0.001378814,0.798626361,1.565234149
EDC4,EDC4,EDC4,2.502938094,0.007247278,0.798626361,-2.502938094
MOXD1,MOXD1,MOXD1,1.705679086,0.008643339,0.798626361,1.705679086
CYB5D2,CYB5D2,CYB5D2,1.436492707,0.008657646,0.798626361,1.436492707
DLGAP4,DLGAP4,DLGAP4,3.947454356,0.009535155,0.798626361,-3.947454356
CALU,CALU,CALU,3.483920089,0.010302614,0.798626361,3.483920089
GBAS,GBAS,GBAS,3.953109057,0.012980719,0.798626361,-3.953109057
VPS35,VPS35,VPS35,1.056032083,0.016152845,0.798626361,1.056032083
clec-78,clec-78,clec-78,2.636730867,0.019026613,0.798626361,-2.636730867
LCTL,LCTL,LCTL,1.304363118,0.022990447,0.798626361,1.304363118
C19orf60,C19orf60,C19orf60,1.122978922,0.023387415,0.798626361,-1.122978922
AP3M2,AP3M2,AP3M2,1.427577997,0.025368402,0.798626361,-1.427577997
AKTIP,AKTIP,AKTIP,1.279332456,0.025479848,0.798626361,-1.279332456
EIF3I,EIF3I,EIF3I,1.292647946,0.025872498,0.798626361,-1.292647946
CDK5RAP3,CDK5RAP3,CDK5RAP3,2.861205538,0.027422252,0.798626361,-2.861205538
ALDH2,ALDH2,ALDH2,0.859068633,0.027452558,0.798626361,0.859068633
NUP98,NUP98,NUP98,0.90649819,0.027598445,0.798626361,0.90649819
TMEM67,TMEM67,TMEM67,1.30048268,0.028716408,0.798626361,-1.30048268
SLC34A2,SLC34A2,SLC34A2,1.160307581,0.029862965,0.798626361,-1.160307581
VCL,VCL,VCL,1.012208939,0.029884794,0.798626361,1.012208939
RPL7,RPL7,RPL7,0.753666117,0.031070677,0.798626361,-0.753666117
FAXC,FAXC,FAXC,1.624413127,0.031365226,0.798626361,1.624413127
PSMG2,PSMG2,PSMG2,1.734465371,0.03146071,0.798626361,1.734465371
VAMP3,VAMP3,VAMP3,1.316149716,0.032242902,0.798626361,-1.316149716
MVP,MVP,MVP,0.887887692,0.032844494,0.798626361,0.887887692
NDUFV2,NDUFV2,NDUFV2,0.660224883,0.034339297,0.798626361,0.660224883
Ifggb1,Ifggb1,Ifggb1,0.825438887,0.034350397,0.798626361,-0.825438887
HSD17B11,HSD17B11,HSD17B11,0.876857853,0.035586892,0.798626361,-0.876857853
LRPPRC,LRPPRC,LRPPRC,1.190324612,0.036102314,0.798626361,1.190324612
AGXT,AGXT,AGXT,0.801875443,0.036516756,0.798626361,0.801875443
LAP3,LAP3,LAP3,0.717677191,0.036769342,0.798626361,0.717677191
HINT1,HINT1,HINT1,0.805841603,0.039955365,0.798626361,-0.805841603
OSBPL9,OSBPL9,OSBPL9,0.812325348,0.040496307,0.798626361,0.812325348
LYS1,LYS1,LYS1,0.995936401,0.041371997,0.798626361,-0.995936401
SLC25A3,SLC25A3,SLC25A3,1.513614914,0.042898656,0.798626361,-1.513614914
EPHX4,EPHX4,EPHX4,1.073145963,0.044236803,0.798626361,-1.073145963
PRKACB,PRKACB,PRKACB,1.959588068,0.045428413,0.798626361,-1.959588068
RAB10,RAB10,RAB10,0.772594297,0.045527541,0.798626361,0.772594297
NCALD,NCALD,NCALD,1.30287882,0.045568391,0.798626361,1.30287882
TRAPPC5,TRAPPC5,TRAPPC5,0.847040453,0.046616229,0.798626361,-0.847040453
EIF3L,EIF3L,EIF3L,1.272027888,0.04677676,0.798626361,1.272027888
PDHA1,PDHA1,PDHA1,2.206741466,0.046866765,0.798626361,-2.206741466
PSMC3,PSMC3,PSMC3,0.765301811,0.047729038,0.798626361,0.765301811
PDXK,PDXK,PDXK,0.690668374,0.047962768,0.798626361,-0.690668374
NUDT15,NUDT15,NUDT15,0.716717655,0.04803889,0.798626361,0.716717655
MDH1,MDH1,MDH1,1.551541574,0.04864548,0.798626361,-1.551541574
SPCS2,SPCS2,SPCS2,0.998892283,0.050221396,0.798626361,0.998892283
SLC39A7,SLC39A7,SLC39A7,0.926987385,0.053274427,0.798626361,0.926987385
HRAS,HRAS,HRAS,0.854140009,0.053467762,0.798626361,-0.854140009
PTPRZ1,PTPRZ1,PTPRZ1,2.588046681,0.053553799,0.798626361,-2.588046681
SELENBP1,SELENBP1,SELENBP1,1.096812837,0.05549021,0.798626361,-1.096812837
EPN2,EPN2,EPN2,1.10608237,0.055749415,0.798626361,-1.10608237
